scopus_id,title,creator,keywords,publication_name,volume,issue,pages,doi,abstract,cited_by_count,date,type,funding_source
85107181906,An easy-to-use function to assess deep space radiation in human brains,Khaksarighiri S.,NA,Scientific Reports,11,1,NA,10.1038/s41598-021-90695-5,"Health risks from radiation exposure in space are an important factor for astronauts’ safety as they venture on long-duration missions to the Moon or Mars. It is important to assess the radiation level inside the human brain to evaluate the possible hazardous effects on the central nervous system especially during solar energetic particle (SEP) events. We use a realistic model of the head/brain structure and calculate the radiation deposit therein by realistic SEP events, also under various shielding scenarios. We then determine the relation between the radiation dose deposited in different parts of the brain and the properties of the SEP events and obtain some simple and ready-to-use functions which can be used to quickly and reliably forecast the event dose in the brain. Such a novel tool can be used from fast nowcasting of the consequences of SEP events to optimization of shielding systems and other mitigation strategies of astronauts in space.",0,2021-12-01,Article,Secretaría de Educación Pública
85104281764,Microglia: Ally and Enemy in Deep Space,Rienecker K.D.A.,CNS | Cognition | Galactic cosmic rays | Microglia | Sex dimorphism | Synapses,Neuroscience and Biobehavioral Reviews,126,NA,509-514,10.1016/j.neubiorev.2021.03.036,"In 2024 the first female astronaut will land on the moon, advancing our preparations for human missions to Mars. While on Earth we are protected from space radiation by our planet's magnetic field, on such deep space voyages astronauts will be exposed to high energy particles from solar flares and galactic cosmic rays (GCR). This exposure carries risks to the central nervous system (CNS) that could jeopardize the mission and astronaut health. Earth-bound studies have employed a variety of single-beam and sequential radiation exposures to simulate the effects of GCR exposure in rodents. Multiple studies have shown that GCR simulation induces a maladaptive activation of microglia – the brain-resident immune cells. GCR simulation also induced synaptic changes resulting in lasting cognitive and behavioral defects. Female and male mice show different susceptibilities to GCR exposure, and evidence suggests this sexually dimorphic response is linked to microglia. Manipulating microglia can prevent the development of cognitive deficits in male mice exposed to components of GCR. This discovery may provide clues towards how to protect astronauts’ cognitive and behavioral health both during deep space missions and upon return to Earth.",0,2021-07-01,Review,National Institutes of Health
85103575389,Aging-like metabolic and adrenal changes in microgravity: State of the art in preparation for Mars,Strollo F.,Bed-rest | Cortisol | Glucose | Insulin | Mars | Space | Stress,Neuroscience and Biobehavioral Reviews,126,NA,236-242,10.1016/j.neubiorev.2021.01.028,"Endocrine and metabolic changes that typically accompany aging on Earth have been consistently observed in space. Support for the role of gravity in aging has mostly come from ground simulation studies in head down bed rest. However, uncertainties remain and have to be resolved in planning for the ambitious enterprise of sending humans to Mars and back. Stress-related corticosteroid changes and metabolic adaptation to microgravity and their relationship with aging are the object of the present review mostly, albeit of course non exclusively, coming from the personal experience of the authors. The picture coming out of it is that of some, not easily proven, stress-induced cortisol increase accompanied by insulin resistance, both of which represent typical aging-like phenomena mediated by chronic low-grade inflammation. This suggests the need for humans to consider the long journey to safely land, live and work on Mars by taking advantage of integrative medicine solutions including synthetic torpor and/or continuous self-monitoring of eating, sleeping, moving to enable remotely supervised self-treatment.",2,2021-07-01,Review,NA
85102986779,Results from radiation environment measurements aboard ExoMars Trace Gas Orbiter in Mars science orbit in May 2018–December 2019,Semkova J.,Charged particle radiation measurements | Cosmic rays | Experimental techniques | Interplanetary medium | Mars,Icarus,361,NA,NA,10.1016/j.icarus.2020.114264,"ExoMars is a joint ESA - Rosscosmos program for investigating Mars. Two missions are foreseen within this program: one consisting of the Trace Gas Orbiter (TGO), that carries scientific instruments for the detection of trace gases in the Martian atmosphere and for the location of their source regions, launched on March 14, 2016; and the other, featuring a rover and a surface platform, with a launch date of 2022. In March 2018 TGO was inserted into circular Mars science orbit with a 400 km altitude. The dosimetric telescope Liulin-MO for measuring the radiation environment onboard the ExoMars TGO is a module of the Fine Resolution Epithermal Neutron Detector (FREND). Here we present recent results from measurements of the charged particle fluxes, dose rates and estimation of dose equivalent rates at ExoMars TGO science orbit, provided by Liulin-MO dosimeter. The obtained data from May 2018 to December 2019 show that: 1) Increase of the dose rate, dose equivalent rate and flux is observed during this period, which corresponds to the increase of galactic cosmic rays (GCR) intensity during the declining of the solar activity. Measurements in two perpendicular directions along axes X and Z of TGO show that the average fluxes for the period are 3.08 cm−2 s−1 and 3.18 cm−2 s−1, the average dose rates are 352 ± 35 μGy day−1 and 366 ± 36 μGy day−1, the average dose equivalent rates are 1.6 ± 0.33 mSv day−1 and 1.65 ± 0.34 mSv day−1; 2) There is slight dependence of the flux distribution on the Martian latitude and longitude; 3) Data from two independent instruments is also evaluated and compared to: good agreement between the GCR count rates time profiles from Liulin-MO, neutron detectors of FREND and High Energy Neutron Detector (HEND) onboard Mars Odyssey orbiter is observed. The comparison between simulations of dose rate carried out with OLTARIS tool using the GCR model of Matthiä et al., 2013 and Liulin-MO measurements during the transit to Mars and on the high elliptic orbit show that the measured dose rate behind the shielding of the detectors of Liulin-MO is about 25% higher than the simulated values. The data obtained confirm the worsening of the radiation conditions in the interplanetary space. Our evaluations show that with respect to the values measured during TGO transit to Mars (April–September 2016) in December 2019 the particle flux in the free space has increased at least by 16% and the dose rate – by 23%. The GCR dose rate in free space during the minimum of 24th solar cycle, based on Liulin-MO data is significantly higher than the dose rate measured by CRaTER instrument onboard Lunar Reconnaissance Orbiter during the minimum of 23rd cycle.",0,2021-06-01,Article,European Space Agency
85107198555,Radiation risks in a mission to mars for a solar particle event similar to the ad 993/4 event,Zaman F.A.,Astronauts | Mars | Martian surface | Solar particle event | Space travel,Aerospace,8,5,NA,10.3390/aerospace8050143,"Within the past decade, evidence of excess atmospheric14C production in tree rings, coupled with an increase in annually resolved measurements of10Be in Arctic and Antarctic ice cores, have indicated that an extremely large solar particle event (SPE) occurred in AD 993/4. The production of cosmogenic nuclei, such as36Cl in consonance with10Be, indicate that the event had a very energetic “hard” particle spectrum, comparable to the event of February 1956. Herein, we estimate the potential radiation risk to male and female crew members on a mission to Mars that would occur from such an SPE. Critical organ doses and effective doses are calculated and compared with NASA space radiation limits for an SPE comparable to the AD 993/4 event, occurring during the transit phase to Mars, or while the crew members are operating on the surface of Mars. Aluminum shielding, similar in thickness to a surface lander, a spacecraft, and a storm shelter area within the spacecraft, are assumed for the transit phase. For surface operations, including the shielding provided by the atmosphere of Mars, shielding comparable to a spacesuit, enclosed rover, and a surface habitat are assumed. The results of our simulations indicate that such an event might have severe consequences for astronauts in transit to Mars. However, on the surface of Mars, the atmosphere provides some protection against an event similar to the 993/4 SPE. In general, the results show that additional shielding may be required for some of the assumed shielding scenarios.",1,2021-05-01,Article,NA
85105407867,A bespoke health risk assessment methodology for the radiation protection of astronauts,Walsh L.,Radiation attributed decrease of survival | Radiation risk model | Radiation-related cancer | Space flight | Space radiation protection,Radiation and Environmental Biophysics,60,2,213-231,10.1007/s00411-021-00910-0,"An alternative approach that is particularly suitable for the radiation health risk assessment (HRA) of astronauts is presented. The quantity, Radiation Attributed Decrease of Survival (RADS), representing the cumulative decrease in the unknown survival curve at a certain attained age, due to the radiation exposure at an earlier age, forms the basis for this alternative approach. Results are provided for all solid cancer plus leukemia incidence RADS from estimated doses from theoretical radiation exposures accumulated during long-term missions to the Moon or Mars. For example, it is shown that a 1000-day Mars exploration mission with a hypothetical mission effective dose of 1.07 Sv at typical astronaut ages around 40 years old, will result in the probability of surviving free of all types of solid cancer and leukemia until retirement age (65 years) being reduced by 4.2% (95% CI 3.2; 5.3) for males and 5.8% (95% CI 4.8; 7.0) for females. RADS dose–responses are given, for the outcomes for incidence of all solid cancer, leukemia, lung and female breast cancer. Results showing how RADS varies with age at exposure, attained age and other factors are also presented. The advantages of this alternative approach, over currently applied methodologies for the long-term radiation protection of astronauts after mission exposures, are presented with example calculations applicable to European astronaut occupational HRA. Some tentative suggestions for new types of occupational risk limits for space missions are given while acknowledging that the setting of astronaut radiation-related risk limits will ultimately be decided by the Space Agencies. Suggestions are provided for further work which builds on and extends this new HRA approach, e.g., by eventually including non-cancer effects and detailed space dosimetry.",0,2021-05-01,Article,U.S. Department of Energy
85103491457,Neutron Radiobiology and Dosimetry,Stricklin D.L.,NA,Radiation Research,195,5,480-496,10.1667/RADE-20-00213.1,"As the U.S. prepares for the possibility of a radiological or nuclear incident, or anticipated lunar and Mars missions, the exposure of individuals to neutron radiation must be considered. More information is needed on how to determine the neutron dose to better estimate the true biological effects of neutrons and mixed-field (i.e., neutron and photon) radiation exposures. While exposure to gamma-ray radiation will cause significant health issues, the addition of neutrons will likely exacerbate the biological effects already anticipated after radiation exposure. To begin to understand the issues and knowledge gaps in these areas, the National Institute of Allergy and Infectious Diseases (NIAID), Radiation Nuclear Countermeasures Program (RNCP), Department of Defense (DoD), Defense Threat Reduction Agency (DTRA), and National Aeronautics and Space Administration (NASA) formed an inter-Agency working group to host a Neutron Radiobiology and Dosimetry Workshop on March 7, 2019 in Rockville, MD. Stakeholder interests were clearly positioned, given the differences in the missions of each agency. An overview of neutron dosimetry and neutron radiobiology was included, as well as a historical overview of neutron exposure research. In addition, current research in the fields of biodosimetry and diagnostics, medical countermeasures (MCMs) and treatment, long-Term health effects, and computational studies were presented and discussed.",1,2021-05-01,Conference Paper,NA
85101381970,"Crew self-organization and group-living habits during three autonomous, long-duration Mars analog missions",Heinicke C.,Autonomy | Confinement | Group dynamics | Group-living habits | Isolation | Long-duration spaceflight | Mars analog mission,Acta Astronautica,182,NA,160-178,10.1016/j.actaastro.2021.01.049,"Analog environments for simulating aspects of spaceflight are being utilized for studying the psychological effects of the projected journey to Mars. In 2016, a series of three analog missions concluded at the Hawaii Space Exploration Analog and Simulation (HI-SEAS) facility. Three crews, each with six volunteers per mission, completed consecutive missions of increasing duration, simulating the isolation and confinement of a Mars exploration mission. The durations of the analog missions were 4 months, 8 months, and 12 months, respectively. In this paper, former crew members of these three missions compare how each crew organized their schedules with regard to work routines and social activities. We outline group-living habits that evolved similarly in the independent crews, and we discuss where social norms differed, leading to idiosyncratic policies for group-living during each mission. This information may serve as a reference to mission planners of both simulated and actual human spaceflight missions and also offers insights for psychology researchers that could motivate future studies of team cohesion and performance.",0,2021-05-01,Article,National Aeronautics and Space Administration
85098935307,Psychological distress and feelings of loneliness: What are the impacts of Covid-19 losckdown on the French population?,Sordes F.,Confinement | Covid-19 epidemic | Détresse psychologique | Lockdown | Loneliness | Mental health | Pandémie du Covid-19 | Psychological distress | Santé mentale | Solitude,European Journal of Trauma and Dissociation,5,2,NA,10.1016/j.ejtd.2020.100189,"The COVID-19 pandemic created a worldwide health crisis. This crisis resulted in an almost two-month lockdown in France — lockdown that has serious impacts on physical and mental health. This unprecedented situation resulted in an important reflection about the mental health of the persons experiencing this crisis. The aim of our study was to apprehend the emotional state of the persons experiencing this lockdown, taking into account day-to-day life and feelings of loneliness. In order to develop a good comprehension of the impact of this situation on mental health, we recruited 4689 persons through an online survey between March 17th and May 11th of 2020 in France. We used several psychometric tools that gave us access to various data, such as socio-biographical information, situational variables — place of living, work context, etc. — and psychological state — depressive symptoms, anxiety, loneliness, etc. This paper focuses mostly on the UCLA loneliness scale, and the French Canadian version of the Psychiatric Symptoms Index (PSI), which measures psychological distress, as well as depressive symptoms, anxiety and cognitive impairment. Results show a moderate psychological distress for 27.5% of our sample, with depressive symptomatology, irritability or cognitive impairment. There is also a high loneliness feeling in 21.8% of the sample. Psychological distress is explained by sociodemographic variables — such as gender and age — but also by situational information — type of housing and persistence of income — and the loneliness feeling. If this pandemic and this lockdown show a clear impact on the emotional life of the French population, these results need to be taken into account with a broader range of situational and psychological variables. These additional data would help us have a more thorough understanding of the underlying factors explaining this difficult experience of the crisis. This comprehension also needs to go further in time and think about the repercussions beyond the end of the lockdown, in order to observe the evolution of these emotions and the potential persistence of psychological distress.",0,2021-05-01,Article,Agence Nationale pour le Développement de la Recherche en Santé
85096857068,"Assessment of the effects of isolation, confinement and hypoxia on spaceflight piloting performance for future space missions - The SIMSKILL experiment in Antarctica",Bosch Bruguera M.,Antarctica | Human performance | Hypoxia | ICE | Soyuz | Space flight simulator,Acta Astronautica,179,NA,471-483,10.1016/j.actaastro.2020.11.019,"Interplanetary human missions to Mars and beyond will suppose a very demanding physical and psychological environment for future astronauts. Isolation, confinement, hypoxia or hypercapnia in a less pressurized atmosphere, darkness and other factors are expected to endanger a mission's success, directly influencing human performance. In order to study the effects of such environmental conditions on human beings, the SIMSKILL Experiment aims to investigate how spacecraft piloting performance decays over time by deploying a Soyuz flight simulator on the Antarctic research stations Halley VI and Concordia, which feature similar living conditions as those of a space mission, leading eventually to muscular atrophy, loss of cognitive capacities, and reduction of psycho-motor skills. This paper offers an analysis on the recorded data from the scientific campaigns in Antarctica, compared to those of the subjects in a control group in Stuttgart, Germany. An overall total of 69 subjects and more than one thousand approach and docking flights to the ISS performed in a Soyuz-TMA simulator have been analysed using a performance assessment methodology. The post-processed simulation dataset allows to recognize collective trends and find which are the essential parameters that affect the pilot's skill evolution. The results obtained from this analysis show how the influence of isolation, confinement and hypoxia in Antarctica is crucial to understand how differences in performance appear between subjects. The significance of the obtained results has been proven by means of statistical models, which show that a one-month training refreshing delivers satisfactory performance for a docking simulation, whereas a frequency of 3 months follows to a loss of piloting reliability. Moreover, the effect of isolation and hypoxia aggravates the loss of flight performance.",0,2021-02-01,Article,Bundesministerium für Wirtschaft und Technologie
